theme_label,emotion_label,Compound,Cleaned,Advice_Text
Research Design & Methodology,Reflective,0.9815,"Upon reflection, I think that one challenging aspect of this project was deciding a topic for our research. With the nature of the project, we had free rein to choose our subject (within reason), and narrowing down ideas was tricky. However, once we discussed conformity, it became clear that it was the route we wanted to pursue. Over the following weeks, we decided that we wanted to study the effects of personality and gender on conformity. We came up with our methodology fairly quickly; however, I wish we had spent more time considering how we wanted to measure conformity. Asch's line study is such a well-known study, and using this task left a lot of room for demand characteristics. Once ethics was approved, we moved on and started conducting the study. Initially, we wanted to have a group of 3 naive participants with confederates for each study; however, we adjusted this so that only one participant was in a group with the confederates. I found analyzing the data quite difficult, but I am happy that we had a 'run through,' as I now feel more confident in my ability to do it again next year. Upon submission, I feel proud of myself and my group for conducting our first piece of research, and I will be sure to take these challenges from the research to better my dissertation next year.","Advice: Spend more time considering how you want to measure your research topic, especially when it involves a task like Asch's line study that leaves room for demand characteristics. This can help improve the quality of your data analysis in future projects. Additionally, having a 'run through' before submitting your work can boost your confidence in analyzing the data and is beneficial for future endeavors."
"Research Design, Emotion Recognition, Methodological Considerations",Reflective,0.9746,"Conducting this study on gender and emotional valence in recognizing emotional intensity through eye contact has been an insightful journey. From developing the research question to analyzing data, I have gained a deeper appreciation for the complexities of nonverbal communication and emotional perception. One of the most surprising findings was the lack of significant main effects for gender and emotional valence, despite previous research suggesting otherwise. However, the significant interaction effect - where female participants showed greater accuracy in recognizing negative emotions - raised important questions about socialization processes and cognitive biases in emotion recognition. This encouraged me to critically assess existing theories and acknowledge the intricate nature of these psychological mechanisms. Methodologically, I became more aware of the trade-offs in experimental design. While static eye images provided control, they lacked real-world dynamism. Future research using videos or interactive stimuli could yield more ecologically valid insights. Additionally, the gender imbalance in my sample (34 males, 66 females) may have influenced the findings, highlighting the importance of balanced participant recruitment. Reflecting on broader implications, my study connects with practical fields like psychotherapy, education, and AI development. This experience has deepened my curiosity about emotion perception and inspired future research directions into cultural and personality-based influences.","The student provides several recommendations and tips for future students or themselves:

1. Acknowledge the complexities of nonverbal communication and emotional perception in research.
2. Critically assess existing theories when unexpected findings arise, such as the lack of significant main effects for gender and emotional valence.
3. Recognize the intricate nature of psychological mechanisms involved in emotion recognition.
4. Be aware of trade-offs in experimental design; consider using more ecologically valid stimuli like videos or interactive media instead of static images to better represent real-world situations.
5. Strive for balanced participant recruitment to ensure that sample size and composition do not unduly influence findings.
6. Reflect on the broader implications of their research, such as connections with practical fields like psychotherapy, education, and AI development.
7. Cultivate curiosity about emotion perception and consider future research directions into cultural and personality-based influences."
"Effective Communication, Research Skills, Critical Thinking",Resilient,0.9363,"The project's initial phase was difficult due to an uneven number of students (5 instead of usual 4 for a mini dissertation), leading to confusion when implementing a 2 X 2 ANOVA and necessitating finding additional variables. Once sorted, the project became manageable as the group met internal deadlines easily with five members working concurrently on different sections. Communication within the group was good due to frequent lab attendance and resolution of any arising issues. The experiences underscored the significance of effective communication and regular lab attendance in facilitating the mini dissertation process. Initially, data analysis seemed daunting, but proved simpler (apart from running the ANOVA) once grasped. The fear of analyzing 337 responses in Qualtrics was alleviated upon starting the task. However, challenges arose during the running of the ANOVA in SPSS due to some issues, which were addressed with tutor and peer assistance. This situation further emphasized the importance of communication and attendance, while enhancing research skills and SPSS proficiency for future projects. Ultimately, designing and conducting my own research substantially improved critical thinking skills. Recognized how common design flaws such as inadequate measures and demographic biases impact result interpretations. Working on the mini-dissertation boosted confidence in approaching the final year dissertation, encouraging careful selection of measures and tackling large dataset analysis.","Advice:

1. In a group project with an uneven number of students, make sure to effectively communicate and clarify any confusion during the initial phase, especially when implementing complex statistical analyses like a 2 X 2 ANOVA.

2. Regular lab attendance is crucial for facilitating the mini dissertation process and resolving any arising issues in a timely manner.

3. When faced with daunting tasks such as data analysis, start by tackling them step-by-step to find that they may be simpler than initially perceived. However, don't hesitate to seek help when encountering challenges.

4. Be aware of common design flaws in research, such as inadequate measures and demographic biases, as they can significantly impact result interpretations.

5. Developing critical thinking skills is crucial during the mini-dissertation process. Use this opportunity to improve your skills for future projects, including your final year dissertation.

6. When tackling large datasets or complex analyses, be selective in your choice of measures and confident in your ability to handle the task. This experience will help you prepare for your final year dissertation."
Research Design & Learning,Relieved,0.9686,"During the decisions process throughout my study, there was plenty of evaluation including the type of stimulus we were using to present witness testimonies. Initially, we relied on using videos of each witness to ensure gender and race were evident and visually taken in. However, we thought it would create confounding variables which could potentially affect results. Additionally, I soon realized during the survey people weren't going to focus on comprehending the description of the witness; instead, they would jump to the testimony itself. Eventually, we noticed faults in our work and reflected on them. Another challenge was creating the survey as I found it challenging getting to the answer of how to randomize our variables. The solution was simpler than it seemed as, in search of answers, I confided in my group, and using trial and error, we were able to find the solution. At this point of submission, I feel accomplished and reflective. Even though I recognized areas of improvement, I am proud of completing my study and the lessons learned. Looking into next year, I am ready to try again and perfect my ability of running an experiment and refining my findings.","The student provides several recommendations for future students or themselves in this reflection:

1. When evaluating decisions during a study, consider potential confounding variables that may affect results. In their case, they noticed using videos of witnesses could create such variables.

2. Focus on the structure and sequence of information presented in surveys to guide participants' attention effectively. They realized people might focus more on the testimony itself rather than the description of the witness.

3. Seek help from peers or groups when encountering challenges. In this case, they resolved their issue with randomizing variables by seeking advice from their group and using trial and error.

4. Embrace a growth mindset and be open to learning and improving skills. The student expresses readiness for the next year to try again and perfect their ability of running an experiment and refining their findings."
"Research Design, Time Management, Group Collaboration, Personal Growth",Reflective,0.8377,"Working on this mini-dissertation project taught valuable lessons such as the importance of spending ample time to find a key study for inspiration, focusing on implementing and recreating its methods and measures into our study. This became clear when I examined a few studies to gain a general idea of potential measurements, but had no solid direction. As a result, I settled on an idea that received minimal research (State anxiety from the STAI and order effects) related to PSA in VRE. In my quest for an anxiety measurement tool, I was unaware I only utilized half of the STAI, employing only the state anxiety aspect and neglecting the trait section - a realization that came halfway through the process, emphasizing the need for thorough research and careful planning. I also learned about the complexity of working within a group, as our study initially had a between design, which was later changed to a mixed design, and eventually reverted back into a between design at the last minute. Time constraints were prevalent due to other coursework obligations and limited availability of the VR headset due to sharing with another year group, reducing the number of collected participants. Despite these challenges, this was an enriching experience that highlighted areas requiring more dedicated time in future endeavors (research, experimentation, organization, planning, etc.). I also gained knowledge about G*power, a tool I found confusing initially but now understand its significance for experimental design.","The student shares several valuable tips and recommendations for future students or themselves:

1. Spend ample time to find a key study for inspiration, focusing on implementing and recreating its methods and measures into your study. This will provide a solid direction for your research.

2. Be aware of the complexity of working within a group, and allow sufficient time for planning, organization, and potential design changes. A between design might initially seem suitable, but a mixed or different design may be more appropriate depending on the context.

3. Understand that thorough research is crucial, as neglecting certain aspects (like the trait section of the STAI) can lead to missed opportunities or misinterpretations.

4. Familiarize yourself with tools like G*power, as they are essential for experimental design and understanding their significance will help in future endeavors.

5. Anticipate challenges such as time constraints and limited resources (e.g., VR headsets), and plan accordingly to minimize their impact on your project.

6. Recognize that the process, even with its challenges, can be enriching and provide valuable lessons for future research endeavors."
Research Design and Planning,Relieved,0.9905,"This project investigated the effects of gender and openness to experience on conformity, requiring a balance between relevance to theories and practicality. I chose openness as my personality trait due to its potential inverse relationship with conformity, a connection I discovered through literature. Operationalizing this trait within a controlled experiment proved challenging. We aimed for balanced gender representation, necessitating adjustments to recruitment strategies. Designing an effective task was another major challenge; it needed to extract levels of conformity while maintaining ethical standards. A pilot test with friends helped identify ambiguities, allowing us to make necessary revisions for clarity and consistency. Data analysis presented issues due to interpreting interaction effects with a small sample size, prompting deeper engagement with statistical issues. As I reach the end, I feel a mix of relief and satisfaction; there are areas I would like to improve by refining conformity measures and using a larger sample, which would contribute to a more thoughtful design. Looking ahead, I feel more confident in completing independent research as I have strengthened my skills in planning and adaptability.","The student recommends the following for future students or themselves:

1. Balance theoretical relevance with practicality when designing a project.
2. When choosing a personality trait, be prepared for challenges in operationalizing it within a controlled experiment.
3. Adjust recruitment strategies to ensure balanced gender representation.
4. Design an effective task that extracts the desired data while maintaining ethical standards.
5. Conduct a pilot test with friends to identify ambiguities and make necessary revisions for clarity and consistency.
6. Be prepared to engage deeply with statistical issues, particularly when working with small sample sizes.
7. Refine conformity measures and use a larger sample size for more thoughtful design.
8. Gain confidence in completing independent research by strengthening skills in planning and adaptability."
"Time Management, Teamwork, Planning, Research Design",Resilient,0.8588,"Completing this mini dissertation offered valuable insights into conducting a study, time management, and teamwork. The experience of practicing group research work alleviated initial third-year dissertation apprehensions, although the mini dissertation topic did not directly relate to potential third-year topics. It was an engaging subject that facilitated effective literature search for specific projects. Completing this assignment highlighted the need for a clearer timeline in my final year dissertation as I initially progressed ahead of schedule but fell slightly behind during the final stages. This delay was due to our group's determination to reach our participant aim, extending data collection slightly. Additionally, technical issues such as my laptop breaking prevented me from using SPSS for specific analyses and figure manipulation, necessitating manual adjustments for descriptive statistics. Collaborating in a group proved beneficial, allowing for idea exchange, but caused confusion during the final stages and write-up, particularly with variables. In planning my final dissertation, I will ensure a more detailed proposal with all variables clearly noted. Overall, I anticipate less stress when writing my real dissertation as I will plan it more effectively than this assignment, although I still have concerns about the write-up and result interpretation. However, I believe that by the end of my final year, I will be able to seek guidance from my supervisor when unsure, having learned from this paper.","Tips for Future Students:

1. Plan your timeline more effectively for your final dissertation, especially towards the final stages.
2. Ensure a detailed and clear proposal is submitted at the beginning of the project, clearly noting all variables to avoid confusion during the research process and write-up.
3. Anticipate technical issues and have backup plans in place. If possible, familiarize yourself with alternative software or methods for data analysis and figure manipulation.
4. Collaboration can be beneficial, but make sure to establish clear communication and expectations within your group to avoid confusion during the final stages and write-up.
5. Seek guidance from your supervisor when unsure about any aspect of your dissertation, as this will help alleviate stress during the writing process and result interpretation."
"Research Design, Teamwork, Confidence, Time Management",Relieved,0.9818,"Conducting this research project has been both challenging and rewarding. I expected the study's design to be straightforward, but coordinating self-report data collection and behavioral data online proved complex. A significant challenge was ensuring participants completed the WCST in a quiet environment as instructed due to the remote nature of the task, limiting our control over external factors. Throughout the project, I gained confidence in managing multi-stage data collection and understanding practical considerations involved in conducting an experiment firsthand. Working as part of a group was complex at times but worth the lengthy process. As I submit this project, I feel more confident and prepared to tackle my final year dissertation with a better understanding of the key components necessary for me to complete it to a high standard.","The student offers the following advice: Gaining confidence in managing multi-stage data collection and understanding practical considerations involved in conducting an experiment firsthand are key components for completing a project to a high standard. Collaborating with a group can be complex, but it is worth the lengthy process."
Research Skills and Personal Growth,Resilient,0.9361,"This process facilitated the development of new skills for designing and conducting a study. Conducting this study offered valuable learning experiences, allowing opportunities to experiment with various techniques and skills to enhance research abilities. Initially, the idea of an in-person experiment felt extremely intimidating; however, working with a group made the task easier as we could support each other. Completing an in-person study brought disadvantages such as lengthy recruitment and management of participant schedules, difficulty finding participants within the time frame, thorough planning needed for consistent procedure application to maintain validity, managing unexpected challenges like participants not showing up, and requiring problem-solving skills. Data analysis seemed daunting at first but proved an interesting aspect. As I navigated the findings, I felt a great sense of achievement; however, I realized that results faced errors due to chosen measures. This experience caused discouragement, leading to doubt in research abilities. Reflection on this experience taught essential skills such as calculating new variables, creating measures, and employing SPSS for reliability testing. The mini-dissertation increased confidence in approaching the final year dissertation by providing insights into advantages and disadvantages of different techniques and procedures for independent research.","The student recommends:

1. Embrace new skills and experiences, even if they initially feel intimidating.
2. Work collaboratively with a group to make challenging tasks easier.
3. Plan thoroughly when conducting in-person studies to maintain validity.
4. Anticipate unexpected challenges, like participants not showing up, and develop problem-solving skills.
5. Familiarize yourself with data analysis techniques and tools like SPSS for reliability testing.
6. Reflect on your experiences to learn from both successes and failures.
7. Calculate new variables, create measures, and improve research abilities by addressing errors in results.
8. Use the insights gained from smaller projects to build confidence when approaching larger projects like a final-year dissertation."
Research Design & Teamwork,Relieved,0.9859,"This mini-dissertation project was a transformative academic experience, deepening my understanding of research design, analysis, and the practical challenges of conducting a study. Collaborating with others taught me how to accurately convey ideas, manage shared responsibilities, and adapt when our perspectives differed. Learning how to balance independence and teamwork was a crucial skill that I will apply to my third-year dissertation and beyond. One of the most enjoyable aspects was collecting and assessing my own data, which made statistics feel more important and real. Using Jamovi to perform my ANOVA and assess effect sizes gave me a strong sense of control and confidence. Although my findings were not significant, I learned that even unexpected discoveries can be useful when reviewed thoughtfully. Looking back, I'm proud of how far I've come—from feeling overwhelmed by the project to now feeling much more confident in my ability to plan, conduct, and report on a whole experiment. This project has provided a solid foundation for my future research, and I am now really enthusiastic to tackle my third-year dissertation with the knowledge and skills I've acquired.","Advice: Take advantage of collaborative opportunities to improve communication, shared responsibility management, and adaptability when working in teams. Balancing independence and teamwork is crucial for success. Embrace hands-on learning by collecting and analyzing your own data, as it makes theoretical concepts like statistics feel more real and practical. Consider using tools like Jamovi to perform statistical analyses, as they can provide a sense of control and confidence. Don't be discouraged if your initial findings are not significant; unexpected discoveries can still yield valuable insights when approached thoughtfully. Reflect on your progress throughout the project, as this will help boost your confidence in planning, conducting, and reporting research. This foundation lays the groundwork for future research projects and will make you more enthusiastic to tackle new challenges."
"Teamwork, Data Integrity",Reflective,0.836,"While working as a team, we generated ideas and eventually achieved our goal of conducting an experiment, highlighting the significance of teamwork. Simultaneously, I honed my teamwork skills, which also improved my intrapersonal abilities, increasing my awareness of utilizing strengths and weaknesses effectively. Together with lab sessions and individually assigned tasks, we aimed for an early ethics submission to meet internal deadlines prior to data collection. Regrettably, due to insufficient participants, we resorted to fabricating data. This situation could be linked to our focus on smokers only. From this experience and feedback from my lab tutor, I will ensure a broader sample population in future studies for a larger sample size.","The student provides the following advice or tip: ""In future studies, ensure a broader sample population for a larger sample size."" This is based on their realization that focusing solely on smokers might have led to insufficient participants and the fabrication of data."
"Research Process, Confidence, Planning, Data Analysis",Relieved,0.9914,"I was nervous but excited when I first started my research project; daunting to think that I undertook such a big task as I've never conducted my own study before. Completing the task was fulfilling yet frustrating. Initially, I struggled with narrowing the research scope. I spent a significant amount of time refining the study question and choosing the most suitable measures because I did not know what to focus on in the components. The importance of having clear instructions and rules for the participants became apparent, especially during data gathering. Due to health reasons, I missed several sessions and fell behind significantly but with help from other researchers, I was able to catch up. Data collection posed challenges such as dealing with incomplete responses or misread questions. These issues made it clear that I had to be prepared for unexpected difficulties. My first challenge was data analysis; it was very difficult to understand the data and ensure that my statistical tests were accurate. At times, I wondered if I was doing it right. With help and time to proofread my own work, I gradually gained confidence in using SPSS and interpreting results. This experience taught me the value of patience, flexibility, and persistence in research. It reinforced the significance of planning, particularly choosing reliable measurements and anticipating problems. Overall, the process deepened my understanding of research processes and increased my confidence in pursuing more investigations despite periods of frustration and unclear moments. Ultimately, the mini-dissertation has made me feel more confident about tackling the final year dissertation now because I understand more about data analysis and data collection and have more confidence in what I can do.","The student recommends patience, flexibility, and persistence when conducting research, as the process may be challenging and frustrating at times. They also stress the importance of planning, particularly choosing reliable measurements and anticipating potential problems during the research process. Additionally, they suggest seeking help from other researchers when faced with difficulties in understanding or interpreting data and statistical tests. Lastly, they express that experiencing such challenges helps increase confidence for future investigations."
Research Skills & Teamwork,Resilient,0.9919,"My mini-dissertation project offered valuable lessons on teamwork, communication, and the research process. The prospect of conducting a study felt daunting due to self-doubt over my skills. However, the strong bond within my team eased these worries. Collaborating with a peer strengthened my grasp of SPSS, data interpretation, dividing participants into groups, which boosted my confidence in writing up results and discussion. Initially, formulating the research question was challenging due to numerous ideas about what to investigate. However, I'm satisfied with our final topic as it was relevant to our interests. Our findings were intriguing; all results were non-significant, suggesting limitations in past studies reporting significant results or potential flaws in our own research design. This experience broadened my understanding of neuroticism, love languages, and relationship satisfaction, enriching knowledge about social psychology, personality, and romantic relationships. In retrospect, I could have deepened my learning by engaging with more literature prior and systematically addressing questions that arose. The process reinforced the importance of precise data collection in strengthening critical thinking skills and statistical knowledge, particularly regarding methodological flaws impacting study outcomes. Overall, this experience has prepared me well for my final-year dissertation, equipping me with essential research skills to design and analyze psychological studies with greater confidence.","Tips for future students:

1. Embrace teamwork and collaboration: Working with a peer can significantly improve your understanding of various aspects of the research process, such as using SPSS, data interpretation, and dividing participants into groups. This collaboration will boost your confidence in writing up results and discussions.

2. Be persistent when formulating a research question: You may encounter numerous ideas about what to investigate initially, but don't be discouraged. Choose a topic that aligns with your interests, as it will make the project more satisfying and relevant.

3. Engage with more literature prior to starting your project: Doing so will broaden your understanding of the subject matter and help you systematically address questions that may arise during the research process.

4. Pay attention to precise data collection: This will strengthen your critical thinking skills and statistical knowledge, particularly regarding methodological flaws impacting study outcomes.

5. Reflect on your experiences to prepare for future projects: The insights gained from each project can help you better equip yourself for future research endeavors, such as your final-year dissertation."
"Teamwork, Personal Growth, Communication",Relieved,0.9768,"Initally, I was nervous about this research assignment as creating and carrying out an experiment seemed intimidating. However, as the project developed, I became more involved with the process. One of the most enjoyable components was designing the experimental program despite having no prior coding knowledge, my partner and I were able to create the WCST task through independent study with online resources. This unexpected accomplishment has given me faith in my capacity to learn new technical abilities when necessary. The group dynamics posed substantial obstacles. With only two of us actively participating after other members disengaged, the workload was substantial. While managing all areas of the project with two individuals required careful coordination, we were able to establish a productive working cadence. This experience demonstrated both the challenges of collaborative work when participation is uneven and the unexpected efficiency that might arise in a smaller, more devoted team. In retrospect, I realize that my lack of straightforward communication about these difficulties. Rather than addressing the unequal involvement, I withdrew from group contacts, which I now realize was unproductive. This has taught me valuable lessons about professional accountability and conflict resolution, which I will employ in future joint projects. The project's challenges were eventually outweighed by its rewards. Problem-solving through technical obstacles and seeing our technique implemented offered true gratification. I've learnt not only certain research skills, but also increased confidence in my ability to conquer challenges. This encounter transformed my perception of academic work as both rigorous and creatively fascinating.","1. If you are nervous about a complex project like creating an experiment or learning new technical abilities, remember that it's possible to accomplish these tasks with determination and independent study using online resources.
2. Group dynamics can pose challenges when participation is uneven, but smaller teams with more dedication may also result in unexpected efficiency.
3. It's essential to address difficulties within a team, such as unequal involvement, through open communication rather than withdrawing from group contacts. This will help maintain productivity and foster better conflict resolution skills.
4. The rewards of problem-solving and seeing your technique implemented can bring true satisfaction and increased confidence in overcoming challenges.
5. Academic work can be perceived as both rigorous and creatively fascinating when approached with determination and a willingness to learn."
"Teamwork, Data Analysis, Perseverance, Research Awareness",Confident,0.9894,"The idea of a mini dissertation seemed challenging initially but soon became one of my favorites. Working in a group did have disadvantages; for example, several members had personal obligations preventing them from attending lab sessions. However, we all communicated effectively, allowing us to stay on track and meet deadlines early. This experience taught me not just the challenges of group work but also the benefits of teamwork and developing strong communication skills. I initially lacked confidence in data analysis; using SPSS and acquiring data could be intimidating. Despite the difficulty, I followed step-by-step instructions using ANOVA worksheets and was quite satisfied with the results when I collected data via graphs and SPSS outputs. Data collection was one of my concerns, yet our group managed to recruit numerous participants in a short time frame. Both parts of this module boosted my confidence in conducting future research. Performing my own research has made me aware of how easy it is for research to have limitations, such as participant biases and cultural differences. I understand that critically evaluating conducted research and pointing out any drawbacks is crucial. This mini dissertation has given me more trust for my final-year project; although I will need to complete this independently, the learning experience has taught me how to analyze large amounts of data and identify various measurements.","Advice:

1. Don't be intimidated by challenging tasks such as a mini dissertation or data analysis. They can become your favorites if you approach them with an open mind.

2. Working in a group has its advantages and disadvantages, but effective communication is key to staying on track and meeting deadlines.

3. When dealing with challenges like data collection, follow step-by-step instructions and be persistent. The results can be satisfying.

4. Recruiting participants for research may seem difficult, but it's possible if you plan well and manage your time effectively.

5. Be aware of the limitations in research, such as participant biases and cultural differences. Critically evaluating conducted research and pointing out any drawbacks is essential.

6. The experience of performing your own research will help you for future projects, even if they are done independently. Learn from this process to analyze large amounts of data and identify various measurements."
Research Design & Methodology,Relieved,0.9125,"Reflecting on the decision-making process of our research project, our group started with numerous ideas for various topics and eventually confirmed the topic at hand. I have learned a great deal about the complexity of studying the impact of media on public perception. One of the initial challenges we faced was narrowing down the topic. Initially, we wanted to do something related to criminal psychology but found it too broad to finalize a suitable and appropriate topic. In the end, we focused on something we encounter frequently in real life and implemented it. Throughout the project, I struggled with data collection, particularly recruiting a diverse enough group of participants. The majority of respondents were college students, which may limit the generalizability of our findings. Additionally, due to our low impact, we often struggled with anxiety during the survey process as to whether or not we would get enough responses to the questionnaire. Upon submitting my thesis, I felt both a sense of accomplishment and relief. I was satisfied with the results of the research and the insights it provided into the role of media in shaping public fear. As I look forward to next year, I am more confident in my research abilities, but I also recognize that there is still much to learn about methodology and academic writing. This project has been a valuable learning experience, and I look forward to further improving my abilities in future research so that I can study criminal psychology topics next year.","Tips for Future Students:
   - Start with numerous ideas when brainstorming your research topic, but be prepared to narrow it down for a more focused and appropriate study.
   - Focus on a topic you encounter frequently in real life and find interesting, as this will make the project more engaging and realistic.
   - Recognize that data collection can be challenging, particularly when recruiting a diverse enough group of participants. Consider implementing different strategies to reach a broader audience.
   - Anticipate experiencing anxiety during the survey process, as it is normal to worry about getting enough responses to your questionnaire.
   - Be prepared for challenges and setbacks during the research process and remain persistent in overcoming them.
   - Take advantage of every learning opportunity, as each project will help you grow and improve your research abilities.
   - Understand that there is always more to learn about methodology and academic writing, so continue seeking knowledge and improvement in these areas.
   - Look forward to future research projects and use them as opportunities to study topics of personal interest, such as criminal psychology."
"Teamwork, Personal Growth",Resilient,0.9694,"Throughout the journey of writing this mini-dissertation, I have learned many valuable lessons. I've had to be patient with myself in times when I couldn't grasp an understanding and have had to keep pushing myself to do my best. Being a team player was a big part of this assignment; it has really helped me develop my teamwork skills, and I have gained much respect for those who work in teams consistently. Working as part of a team has been a great experience, having others in the same position as me who also supported me. I hope I will carry the lessons and skills I've learned and practiced while completing this mini dissertation into my next and final year.","The student offers several pieces of advice for future students:

1. Be patient with yourself when struggling to understand concepts or ideas.
2. Keep pushing yourself to do your best, even in difficult times.
3. Embrace teamwork and learn from the experience of working in a team.
4. Carry the lessons and skills learned during this project into future academic endeavors."
Skill Development & Learning Experience,Relieved,0.8243,"The Mini-Dissertation experience was a rollercoaster, enjoyable yet stressful; confidence grew significantly throughout. Group work fostered teamwork and communication skills, although it did not fully alleviate confusion experienced. Each individual's process was unique and fast-paced, making one feel behind at times. However, valuable lessons were learned for next year. The initial encounter with exported data on Excel was overwhelming, but upon understanding, realized its simplicity. Running and interpreting the data was difficult due to extended time since writing a lab report. Nonetheless, managed to complete in the end. In conclusion, this process initiated thoughts about potential 3rd-year research topics and provided a rough idea of the process. Acquired skills include critical thinking, exporting data, interpreting and cleaning data, and refreshing SPSS skills (creating graphs and reading descriptive statistics). Overall, the experience was incredibly beneficial despite being stressful and confusing at times.","The student offers several tips for future students or themselves:

1. Expect a rollercoaster of emotions during the Mini-Dissertation process, as it can be enjoyable yet stressful.

2. Group work is beneficial in fostering teamwork and communication skills, but may not fully alleviate confusion experienced.

3. Each individual's process may be unique and fast-paced, making one feel behind at times. However, the student learned valuable lessons for next year.

4. Initial encounter with exported data on Excel might seem overwhelming, but understanding its simplicity is key.

5. Refresh lab report writing skills before starting as running and interpreting data can be difficult due to extended time since writing a lab report.

6. Acquired skills include critical thinking, exporting data, interpreting and cleaning data, and refreshing SPSS skills (creating graphs and reading descriptive statistics).

7. The experience was incredibly beneficial despite being stressful and confusing at times."
"Time Management, Personal Growth, Skill Development (SPSS), Perseverance, Planning, Awareness",Overwhelmed,0.9022,"What a task; the mini dissertation was not easy. This was the most stressful piece of work given. The decision-making process was done with me and two coworkers. Challenges were faced during the write-up for this piece of work. I regret and am saddened by the piece of work created, although I am a bit happy I made this mini dissertation on my own. I should have asked for help earlier. Despite everything going on within my life, I struggled with the stats part, especially the SPSS part. I know I've done it wrong, but there is nothing I can do now. This has given me an insight into the actual one in third year, for which I need to take all lessons and shortcomings to do better. I hope I pass this. For the third year, I need to work on not letting life get in the way, take it step by step, and avoid accumulating tasks. I also need to work on my SPSS stats to reduce stress. Finally, I just need to be more aware and work accordingly. When I look back at this piece of work in third year, I hope and will ensure that I show myself with not just a pass but high-grading outstanding work. As I feel now with disappointment and acknowledgment of my shortcomings, I need to do better and will. I am serious about my education and career within this field.","1. Ask for help earlier when faced with difficulties or challenges.
2. Take each step in the process one at a time, and avoid accumulating tasks.
3. Work on improving SPSS stats to reduce stress during data analysis.
4. Be more aware of deadlines and work accordingly to produce high-grading outstanding work.
5. Reflect on shortcomings and lessons learned from this experience to do better in the future, especially when approaching the actual dissertation in third year."
Research Skills and Teamwork,Relieved,0.9787,"Through completing this mini-dissertation project, I have learned and revisited various skills and research techniques necessary to complete the task, making the experience surprisingly enjoyable and not as overwhelming as initially thought. Working with a group helped me overcome initial fears regarding this assignment, such as workload, but collaborating and discussing with peers boosted my confidence and morale. The use of software such as SPSS and Qualtrics allowed me to develop analysis skills and further understand data interpretation, as I experienced it first-hand with personally collected data, making it easier to comprehend. When analyzing my data, I learned how crucial it is to be thorough with data collection, as well as developing a study with a sample that is more feasible or easily sought after, which was an issue I encountered. This experience increased my confidence in areas where I felt the most weak and my confidence in dissertation-style writing as a whole, which I will carry with me when writing my final dissertation in my final year.","The student recommends:

1. Embrace group work to overcome initial fears about large assignments. Collaborating with peers can boost confidence and morale.
2. Develop skills in using software such as SPSS and Qualtrics for data analysis, as it will help understand data interpretation better.
3. Be thorough with data collection when conducting research, ensuring the sample is feasible or easily sought after to avoid issues during analysis.
4. Carry the gained confidence in dissertation-style writing into future projects, particularly the final dissertation in their final year."
"Research Process, Teamwork",Confident,0.9948,"I was always aware since year 1 that it was necessary for all students to complete a dissertation by the end of year 3, however this thought had been rather scary until now. This mini-dissertation provided an opportunity to practice the skills required to perform well in my dissertation next year. It was far from easy or perfect, but I learned immensely during the low moments when I felt lost in what I was doing, and from any mistakes made along the way. This experience now leaves me feeling prepared and much more at ease for the academic year ahead. To elaborate, analyzing the data collected from my research proved challenging and overwhelming at times. However, the more time I spent with SPSS, I was able to reach correct conclusions. For me, the excitement I have derived from figuring out how to navigate data analysis has made it the best part of this project for me. It provided a great sense of achievement knowing that I overcame any doubts or confusion in my mind. Another highlight of this project was receiving responses from our study. My team and I were pleasantly surprised by the number of participants we got so quickly, making the data collection process smooth sailing. Working as a group has been one of the main reasons I felt more comfortable starting this project. At first, I was worried about working with others due to concerns over conflicting ideas, however this was not the case. My team and I had similar interests going into this, and each member brought different ideas and solutions to issues. Communication has been good, despite not everyone being in the labs at the same times. In particular, I took some time off for an unexpected Pro-Social Behaviour 15 last-minute surgery. I ensured to keep in touch with my team while recovering, asking what I could do from home. My team was extremely thoughtful and helpful during this time. Designing my own research, analyzing and reporting it has given me a great insight into what being a psychologist is. Our essays mean we must examine many reports and studies, and it has been enlightening to experience the process of these studies from start to finish.","The student provides several tips and recommendations for future students:

1. Practice dissertation skills early: The student suggests that students should start practicing the skills required for their dissertation as early as possible, such as data analysis using SPSS.

2. Learn from mistakes: The student emphasizes the importance of learning from mistakes made during the research process.

3. Work in a group: The student recommends working in a group for projects like this, as it can provide comfort and help overcome doubts or confusion.

4. Communicate effectively: Good communication is essential, especially when working with others who may not be available at the same times. The student suggests making an effort to keep in touch and asking what you can do from home if necessary.

5. Embrace challenges: The student encourages students to embrace challenges during their research projects, as they can provide a great sense of achievement upon overcoming them.

6. Reflect on the process: The student suggests that reflecting on the entire process of conducting a study, from design to analysis and reporting, can give valuable insights into what it's like to be a psychologist."
